CustomerKey,Full Name,MaritalStatus,Gender,YearlyIncome,TotalChildren,TotalChildren,KidsAtHome,EnglishOccupation,DateFirstPurchase,BirthDate,EducationLevel,DateFirstPurchase,Customer City
11000,Jon Yang,M,Male,90000,2,2,0,Professional,19/01/2021,06/10/1971,Bachelors,19/01/2021,Rockhampton
11001,Eugene Huang,S,Male,60000,3,3,1,Professional,15/01/2021,10/05/1976,Bachelors,15/01/2021,Seaford
11002,Ruben Torres,M,Male,60000,3,3,1,Professional,07/01/2021,09/02/1971,Bachelors,07/01/2021,Hobart
11003,Christy Zhu,S,Female,70000,0,0,0,Professional,29/12/2020,14/08/1973,Bachelors,29/12/2020,North Ryde
11004,Elizabeth Johnson,S,Female,80000,5,5,1,Professional,23/01/2021,05/08/1979,Bachelors,23/01/2021,Wollongong
11005,Julio Ruiz,S,Male,70000,0,0,0,Professional,30/12/2020,01/08/1976,Bachelors,30/12/2020,East Brisbane
11006,Janet Alvarez,S,Female,70000,0,0,0,Professional,24/01/2021,02/12/1976,Bachelors,24/01/2021,Matraville
11007,Marco Mehta,M,Male,60000,3,3,1,Professional,09/01/2021,06/11/1969,Bachelors,09/01/2021,Warrnambool
11008,Rob Verhoff,S,Female,60000,4,4,1,Professional,25/01/2021,04/07/1975,Bachelors,25/01/2021,Bendigo
11009,Shannon Carlson,S,Male,70000,0,0,0,Professional,27/01/2021,29/09/1969,Bachelors,27/01/2021,Hervey Bay
11010,Jacquelyn Suarez,S,Female,70000,0,0,0,Professional,14/01/2021,05/08/1969,Bachelors,14/01/2021,East Brisbane
11011,Curtis Lu,M,Male,60000,4,4,1,Professional,30/12/2020,03/05/1969,Bachelors,30/12/2020,East Brisbane
11012,Lauren Walker,M,Female,100000,2,2,0,Management,16/03/2023,14/01/1979,Bachelors,16/03/2023,Bremerton
11013,Ian Jenkins,M,Male,100000,2,2,0,Management,13/04/2023,03/08/1979,Bachelors,13/04/2023,Lebanon
11014,Sydney Bennett,S,Female,100000,3,3,0,Management,23/03/2023,06/11/1973,Bachelors,23/03/2023,Redmond
11015,Chloe Young,S,Female,30000,0,0,0,Skilled Manual,18/01/2023,26/08/1984,Partial College,18/01/2023,Burbank
11016,Wyatt Hill,M,Male,30000,0,0,0,Skilled Manual,09/02/2023,25/10/1984,Partial College,09/02/2023,Imperial Beach
11017,Shannon Wang,S,Female,20000,4,4,0,Skilled Manual,12/01/2021,24/12/1949,High School,12/01/2021,Sunbury
11018,Clarence Rai,S,Male,30000,2,2,0,Clerical,17/01/2021,06/10/1955,Partial College,17/01/2021,Bendigo
11019,Luke Lal,S,Male,40000,0,0,0,Skilled Manual,12/02/2023,04/09/1983,High School,12/02/2023,Langley
11020,Jordan King,S,Male,40000,0,0,0,Skilled Manual,29/12/2022,19/03/1984,High School,29/12/2022,Metchosin
11021,Destiny Wilson,S,Female,40000,0,0,0,Skilled Manual,23/01/2023,02/03/1984,Partial College,23/01/2023,Beaverton
11022,Ethan Zhang,M,Male,40000,0,0,0,Skilled Manual,20/01/2023,10/04/1984,Partial College,20/01/2023,Bellingham
11023,Seth Edwards,M,Male,40000,0,0,0,Skilled Manual,17/02/2023,09/04/1984,Partial College,17/02/2023,Bellflower
11024,Russell Xie,M,Male,60000,0,0,0,Skilled Manual,27/06/2023,16/03/1984,Partial College,27/06/2023,Concord
11025,Alejandro Beck,M,Male,10000,2,2,1,Clerical,06/01/2021,22/06/1951,Partial High School,06/01/2021,Hawthorne
11026,Harold Sai,S,Male,30000,2,2,0,Clerical,23/01/2021,01/10/1951,Partial College,23/01/2021,Goulburn
11027,Jessie Zhao,M,Male,30000,2,2,0,Clerical,16/01/2021,05/06/1952,Partial College,16/01/2021,Warrnambool
11028,Jill Jimenez,M,Female,30000,2,2,0,Clerical,26/01/2021,09/10/1951,Partial College,26/01/2021,St. Leonards
11029,Jimmy Moreno,M,Male,30000,2,2,0,Clerical,19/01/2021,19/06/1952,Partial College,19/01/2021,Bendigo
11030,Bethany Yuan,M,Female,10000,2,2,1,Clerical,05/02/2021,18/02/1958,Partial High School,05/02/2021,Cloverdale
11031,Theresa Ramos,M,Female,20000,4,4,0,Skilled Manual,01/02/2021,18/02/1953,High School,01/02/2021,Matraville
11032,Denise Stone,M,Female,20000,4,4,0,Skilled Manual,18/02/2021,08/12/1952,High School,18/02/2021,Melbourne
11033,Jaime Nath,M,Male,20000,4,4,0,Skilled Manual,15/02/2021,19/09/1958,High School,15/02/2021,Milsons Point
11034,Ebony Gonzalez,M,Female,20000,4,4,0,Skilled Manual,01/02/2021,16/12/1952,High School,01/02/2021,North Sydney
11035,Wendy Dominguez,M,Female,10000,2,2,1,Clerical,06/02/2021,23/08/1953,Partial High School,06/02/2021,Cranbourne
11036,Jennifer Russell,M,Female,60000,0,0,0,Skilled Manual,22/01/2023,16/06/1984,Partial College,22/01/2023,National City
11037,Chloe Garcia,S,Female,40000,0,0,0,Clerical,20/01/2023,27/05/1983,Partial High School,20/01/2023,Cliffside
11038,Diana Hernandez,M,Female,10000,2,2,1,Clerical,07/02/2021,20/09/1953,Partial High School,07/02/2021,Lavender Bay
